"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"LOC101929622","1559542_a_at",0.5234419,0.222,1.27,-5.53356,0.81542225,"LOC101929622","uncharacterized LOC101929622","LOC101929622"
"LOC100505515","231333_at",0.5234863,0.222,1.27,-5.53369,0.28314968,"LOC100505515","uncharacterized LOC100505515","LOC100505515"
"LOC100506548","224763_at",0.5236218,0.223,1.27,-5.53415,0.21107014,"LOC100506548///RPL37","uncharacterized LOC100506548///ribosomal protein L37","LOC100506548"
"PLCB4","203896_s_at",0.5236218,0.223,1.27,-5.53423,0.32759867,"PLCB4","phospholipase C beta 4","PLCB4"
"LINGO1-AS1","1562748_at",0.5236361,0.223,1.27,-5.53435,0.50480058,"LINGO1-AS1","LINGO1 antisense RNA 1","LINGO1-AS1"
"LOC101927093","237576_x_at",0.5236361,0.223,1.27,-5.53442,0.30856096,"LOC101927093","uncharacterized LOC101927093","LOC101927093"
"ZNF8","214901_at",0.5236965,0.223,1.27,-5.53465,0.26901747,"ZNF8","zinc finger protein 8","ZNF8"
"TRAF1","205599_at",0.5236965,0.223,1.27,-5.53474,0.6362785,"TRAF1","TNF receptor associated factor 1","TRAF1"
"MAGEA10","210295_at",0.5236965,0.223,1.27,-5.53475,0.41925938,"MAGEA10","MAGE family member A10","MAGEA10"
"LOC375196","1556244_s_at",0.5236965,0.223,1.27,-5.5348,0.47737338,"LOC375196","uncharacterized LOC375196","LOC375196"
"SMIM5","229740_at",0.5236965,0.223,1.27,-5.53481,0.38452357,"SMIM5","small integral membrane protein 5","SMIM5"
"TSHZ1","223282_at",0.5238098,0.223,1.27,-5.53503,0.28442674,"TSHZ1","teashirt zinc finger homeobox 1","TSHZ1"
"TDP1","240822_at",0.5238098,0.223,1.27,-5.53503,0.49255353,"TDP1","tyrosyl-DNA phosphodiesterase 1","TDP1"
"LOC100288860","239127_at",0.5238212,0.223,-1.27,-5.53514,-0.56452115,"LOC100288860","uncharacterized LOC100288860","LOC100288860"
"FTL","212788_x_at",0.5238336,0.223,-1.27,-5.5352,-0.19835839,"FTL","ferritin light chain","FTL"
"LRRC15","213909_at",0.523862,0.223,1.27,-5.53532,0.26615229,"LRRC15","leucine rich repeat containing 15","LRRC15"
"LMBR1","224410_s_at",0.5238842,0.223,1.27,-5.53541,0.36483767,"LMBR1","limb development membrane protein 1","LMBR1"
"POMGNT2","225689_at",0.5238842,0.223,1.27,-5.53549,0.32386912,"POMGNT2","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)","POMGNT2"
"LOC646762","1560006_a_at",0.5238842,0.223,-1.27,-5.53552,-0.34857342,"LOC646762","uncharacterized LOC646762","LOC646762"
"PKHD1","241694_at",0.5238842,0.223,1.27,-5.53552,0.28019283,"PKHD1","polycystic kidney and hepatic disease 1 (autosomal recessive)","PKHD1"
"LRRC59","1569371_at",0.524041,0.223,1.27,-5.53592,0.34957119,"LRRC59","leucine rich repeat containing 59","LRRC59"
"LOC101928054","1560156_at",0.5241568,0.223,1.27,-5.53615,0.40875578,"LOC101928054","uncharacterized LOC101928054","LOC101928054"
"HHLA2","234673_at",0.5242065,0.223,1.26,-5.53628,0.41390308,"HHLA2","HERV-H LTR-associating 2","HHLA2"
"TNK2-AS1","1565784_at",0.5242449,0.223,1.26,-5.53637,0.30693959,"TNK2-AS1","TNK2 antisense RNA 1","TNK2-AS1"
"IFT27","205037_at",0.5242544,0.223,1.26,-5.53654,0.30483125,"IFT27","intraflagellar transport 27","IFT27"
"METTL25","229018_at",0.5244575,0.223,1.26,-5.53701,0.42482174,"METTL25","methyltransferase like 25","METTL25"
"TTC19","217964_at",0.5244575,0.223,-1.26,-5.53711,-0.18749575,"TTC19","tetratricopeptide repeat domain 19","TTC19"
"KLHDC2","217906_at",0.5244993,0.223,1.26,-5.53725,0.27561298,"KLHDC2","kelch domain containing 2","KLHDC2"
"EXTL1","206329_at",0.5245538,0.223,1.26,-5.53737,0.60822073,"EXTL1","exostosin like glycosyltransferase 1","EXTL1"
"LINC00942","1558308_at",0.5245579,0.224,1.26,-5.53742,0.46157151,"LINC00942","long intergenic non-protein coding RNA 942","LINC00942"
"MRPL22","218339_at",0.5245579,0.224,1.26,-5.53744,0.14986429,"MRPL22","mitochondrial ribosomal protein L22","MRPL22"
"LOC101929368","214119_s_at",0.5246317,0.224,1.26,-5.53765,0.23861053,"LOC101929368///FKBP1A","uncharacterized LOC101929368///FK506 binding protein 1A","LOC101929368"
"GRIK1-AS2","1560378_at",0.5246317,0.224,-1.26,-5.53767,-0.77853018,"GRIK1-AS2","GRIK1 antisense RNA 2","GRIK1-AS2"
"HSD17B8","213540_at",0.5247776,0.224,1.26,-5.53801,0.26901682,"HSD17B8","hydroxysteroid 17-beta dehydrogenase 8","HSD17B8"
"IGSF11","228375_at",0.5247776,0.224,-1.26,-5.53809,-0.74105327,"IGSF11","immunoglobulin superfamily member 11","IGSF11"
"COX7C","217491_x_at",0.5247776,0.224,-1.26,-5.53811,-0.16723299,"COX7C","cytochrome c oxidase subunit 7C","COX7C"
"10-Mar","230824_at",0.5247776,0.224,1.26,-5.53814,0.42934308,"10-Mar","membrane associated ring-CH-type finger 10","10-Mar"
"LOC100510710","216400_at",0.5247776,0.224,1.26,-5.53821,0.72534046,"LOC100510710///GBAP1","glucosylceramidase-like///glucosylceramidase beta pseudogene 1","LOC100510710"
"NKAIN2","1554601_at",0.5247776,0.224,1.26,-5.53822,0.54885791,"NKAIN2","Na+/K+ transporting ATPase interacting 2","NKAIN2"
"DRC3","1554584_at",0.5247776,0.224,1.26,-5.53822,0.67874895,"DRC3","dynein regulatory complex subunit 3","DRC3"
"DCAF13","1568840_at",0.5248333,0.224,-1.26,-5.53855,-0.6271693,"DCAF13","DDB1 and CUL4 associated factor 13","DCAF13"
"PPP1R15B","224692_at",0.5248333,0.224,-1.26,-5.53856,-0.25577996,"PPP1R15B","protein phosphatase 1 regulatory subunit 15B","PPP1R15B"
"PROM2","234198_at",0.5248333,0.224,1.26,-5.53857,0.41454953,"PROM2","prominin 2","PROM2"
"HTRA3","226944_at",0.5249672,0.224,1.26,-5.53886,0.44112643,"HTRA3","HtrA serine peptidase 3","HTRA3"
"ZNF771","232561_at",0.5249766,0.224,1.26,-5.53894,0.50368141,"ZNF771","zinc finger protein 771","ZNF771"
"LOC284648","231427_at",0.5250393,0.224,1.26,-5.5391,0.23132024,"LOC284648","uncharacterized LOC284648","LOC284648"
"EHD3","241267_at",0.5250654,0.224,-1.26,-5.53933,-0.72503847,"EHD3","EH domain containing 3","EHD3"
"GNPAT","201956_s_at",0.5250654,0.224,1.26,-5.53935,0.19608846,"GNPAT","glyceronephosphate O-acyltransferase","GNPAT"
"LOC100131532","221186_at",0.5251063,0.224,1.26,-5.53966,0.83338577,"LOC100131532","uncharacterized LOC100131532","LOC100131532"
"RBSN","226581_at",0.5251063,0.224,1.26,-5.53967,0.27297571,"RBSN","rabenosyn, RAB effector","RBSN"
"ATP11C","242690_at",0.5251063,0.224,-1.26,-5.5397,-0.99696869,"ATP11C","ATPase phospholipid transporting 11C","ATP11C"
"AKAP9","207870_at",0.5251063,0.224,1.26,-5.53971,0.77538206,"AKAP9","A-kinase anchoring protein 9","AKAP9"
"XGY2","1563420_at",0.5252688,0.224,1.26,-5.54017,0.72239164,"XGY2///XG","Xg pseudogene, Y-linked 2///Xg blood group","XGY2"
"AHSG","210929_s_at",0.5253258,0.224,-1.26,-5.54041,-0.6836225,"AHSG","alpha 2-HS glycoprotein","AHSG"
"ADGRG2","206002_at",0.5253258,0.224,1.26,-5.54054,0.24674588,"ADGRG2","adhesion G protein-coupled receptor G2","ADGRG2"
"DPPA4","232985_s_at",0.5253591,0.224,1.26,-5.54067,0.34848681,"DPPA4","developmental pluripotency associated 4","DPPA4"
"LOC728114","1569842_at",0.5254194,0.225,1.26,-5.54087,0.36104208,"LOC728114","uncharacterized LOC728114","LOC728114"
"IGLL1","206660_at",0.5255396,0.225,-1.26,-5.54123,-0.69582087,"IGLL1","immunoglobulin lambda like polypeptide 1","IGLL1"
"YAF2","244783_at",0.525713,0.225,-1.26,-5.54164,-0.36783867,"YAF2","YY1 associated factor 2","YAF2"
"LINC01607","238377_s_at",0.5257352,0.225,1.26,-5.54174,0.30167006,"LINC01607","long intergenic non-protein coding RNA 1607","LINC01607"
"WDR91","218971_s_at",0.5258174,0.225,-1.26,-5.54195,-0.58724158,"WDR91","WD repeat domain 91","WDR91"
"KBTBD8","239835_at",0.5259026,0.225,-1.26,-5.54223,-0.36546836,"KBTBD8","kelch repeat and BTB domain containing 8","KBTBD8"
"PLEKHA7","242417_at",0.5260611,0.225,1.26,-5.54253,0.29731954,"PLEKHA7","pleckstrin homology domain containing A7","PLEKHA7"
"EPO","207257_at",0.526094,0.225,1.26,-5.54264,0.75234506,"EPO","erythropoietin","EPO"
"RBFOX2","212104_s_at",0.5261718,0.225,-1.26,-5.54284,-0.275748,"RBFOX2","RNA binding protein, fox-1 homolog 2","RBFOX2"
"ZNF560","1553276_at",0.5261812,0.225,1.26,-5.54295,0.86225078,"ZNF560","zinc finger protein 560","ZNF560"
"VDR","204254_s_at",0.5262977,0.225,-1.26,-5.54325,-0.42703417,"VDR","vitamin D (1,25- dihydroxyvitamin D3) receptor","VDR"
"TCEA1","1566208_at",0.5263212,0.225,-1.26,-5.54338,-0.59794401,"TCEA1","transcription elongation factor A1","TCEA1"
"LSM3","202209_at",0.526323,0.225,1.26,-5.54342,0.21669675,"LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","LSM3"
"VEPH1","234940_s_at",0.5263273,0.225,-1.26,-5.54368,-0.65242246,"VEPH1","ventricular zone expressed PH domain containing 1","VEPH1"
"TMEM132C","232313_at",0.5263273,0.225,-1.26,-5.54368,-0.62211095,"TMEM132C","transmembrane protein 132C","TMEM132C"
"TLR1","210176_at",0.5263273,0.225,-1.26,-5.54371,-0.46468794,"TLR1","toll like receptor 1","TLR1"
"TRIM26","202702_at",0.526349,0.225,1.26,-5.54384,0.1819735,"TRIM26","tripartite motif containing 26","TRIM26"
"DUSP1","201044_x_at",0.526349,0.225,-1.26,-5.5439,-0.5352627,"DUSP1","dual specificity phosphatase 1","DUSP1"
"CAMK4","241871_at",0.5264488,0.226,1.26,-5.54411,0.93683351,"CAMK4","calcium/calmodulin dependent protein kinase IV","CAMK4"
"CEBPB","212501_at",0.5265291,0.226,-1.26,-5.5444,-0.29245476,"CEBPB","CCAAT/enhancer binding protein beta","CEBPB"
"RBL1","1559307_s_at",0.5265291,0.226,1.26,-5.54441,0.68944751,"RBL1","RB transcriptional corepressor like 1","RBL1"
"NEDD1","234984_at",0.5266043,0.226,1.26,-5.54466,0.24794581,"NEDD1","neural precursor cell expressed, developmentally down-regulated 1","NEDD1"
"CCDC57","1553248_at",0.5266043,0.226,-1.26,-5.54468,-0.32200251,"CCDC57","coiled-coil domain containing 57","CCDC57"
"UROS","232560_at",0.5266043,0.226,1.26,-5.54471,0.55841617,"UROS","uroporphyrinogen III synthase","UROS"
"ZNF48","227470_at",0.5266611,0.226,-1.26,-5.54489,-0.17685641,"ZNF48","zinc finger protein 48","ZNF48"
"IGSF6","241068_at",0.526673,0.226,-1.26,-5.54494,-0.98102518,"IGSF6","immunoglobulin superfamily member 6","IGSF6"
"LOC100996902","237871_x_at",0.5268216,0.226,1.26,-5.54528,0.39247491,"LOC100996902","uncharacterized LOC100996902","LOC100996902"
"UXS1","219675_s_at",0.5268407,0.226,1.26,-5.54534,0.17174641,"UXS1","UDP-glucuronate decarboxylase 1","UXS1"
"RPL13AP17","1555083_at",0.5270749,0.226,-1.26,-5.54589,-0.29940882,"RPL13AP17","ribosomal protein L13a pseudogene 17","RPL13AP17"
"AQP8","206784_at",0.5270749,0.226,-1.26,-5.54593,-0.59128252,"AQP8","aquaporin 8","AQP8"
"APTX","243132_at",0.527226,0.226,-1.26,-5.5463,-0.57282297,"APTX","aprataxin","APTX"
"LINC00950","214344_at",0.527226,0.226,-1.26,-5.5463,-0.52735035,"LINC00950","long intergenic non-protein coding RNA 950","LINC00950"
"PIGB","242760_x_at",0.527226,0.226,-1.26,-5.54649,-0.1754487,"PIGB","phosphatidylinositol glycan anchor biosynthesis class B","PIGB"
"STX2","213434_at",0.527226,0.226,-1.26,-5.54653,-0.2673146,"STX2","syntaxin 2","STX2"
"SLIT3","203813_s_at",0.527226,0.226,1.26,-5.54663,0.83464407,"SLIT3","slit guidance ligand 3","SLIT3"
"DHCR24","200862_at",0.527226,0.226,1.26,-5.54665,0.36202854,"DHCR24","24-dehydrocholesterol reductase","DHCR24"
"GAB2","203853_s_at",0.527226,0.226,1.26,-5.54666,0.21921675,"GAB2","GRB2 associated binding protein 2","GAB2"
"WBP2NL","1552514_at",0.5272326,0.226,1.26,-5.5467,0.60441743,"WBP2NL","WBP2 N-terminal like","WBP2NL"
"OR7A10","217316_at",0.5273013,0.226,1.26,-5.54686,0.51874299,"OR7A10","olfactory receptor family 7 subfamily A member 10","OR7A10"
"ADGRV1","223582_at",0.5273971,0.226,-1.26,-5.54727,-0.47611042,"ADGRV1","adhesion G protein-coupled receptor V1","ADGRV1"
"NAA35","219362_at",0.5273971,0.226,-1.26,-5.5473,-0.20411801,"NAA35","N(alpha)-acetyltransferase 35, NatC auxiliary subunit","NAA35"
"DDHD2","212690_at",0.5273971,0.226,1.26,-5.5473,0.23064229,"DDHD2","DDHD domain containing 2","DDHD2"
"LINC00652","220747_at",0.5273971,0.226,1.26,-5.54738,0.30293658,"LINC00652","long intergenic non-protein coding RNA 652","LINC00652"
"TAB2","212184_s_at",0.5273971,0.226,-1.26,-5.54739,-0.20410771,"TAB2","TGF-beta activated kinase 1/MAP3K7 binding protein 2","TAB2"
"PCDH7","205534_at",0.5273971,0.227,-1.26,-5.54743,-0.85051049,"PCDH7","protocadherin 7","PCDH7"
"FAM133DP","235469_at",0.5273971,0.227,-1.26,-5.54745,-0.42483128,"FAM133DP///FAM133B","family with sequence similarity 133, member A pseudogene///family with sequence similarity 133 member B","FAM133DP"
"NATD1","226657_at",0.5273971,0.227,1.26,-5.54751,0.24891162,"NATD1","N-acetyltransferase domain containing 1","NATD1"
"LOC100507384","237170_at",0.527411,0.227,1.26,-5.54756,0.67850824,"LOC100507384","uncharacterized LOC100507384","LOC100507384"
"ANXA9","211712_s_at",0.5274858,0.227,-1.26,-5.54778,-0.37753749,"ANXA9","annexin A9","ANXA9"
"LOC286238","1564709_at",0.5274858,0.227,1.26,-5.5478,0.46014112,"LOC286238","uncharacterized LOC286238","LOC286238"
"NXT2","209628_at",0.5277226,0.227,1.25,-5.54833,0.27677061,"NXT2","nuclear transport factor 2 like export factor 2","NXT2"
"ROMO1","224972_at",0.5277226,0.227,-1.25,-5.54835,-0.16163816,"ROMO1","reactive oxygen species modulator 1","ROMO1"
"NHP2","209104_s_at",0.5277908,0.227,-1.25,-5.54851,-0.26403726,"NHP2","NHP2 ribonucleoprotein","NHP2"
"MANEA","219003_s_at",0.5277908,0.227,1.25,-5.54864,0.33174592,"MANEA","mannosidase endo-alpha","MANEA"
"SLC9C2","1563495_at",0.5277908,0.227,1.25,-5.54865,0.21901725,"SLC9C2","solute carrier family 9 member C2 (putative)","SLC9C2"
"HIST1H2BN","207226_at",0.5279743,0.227,1.25,-5.54897,0.47038883,"HIST1H2BN","histone cluster 1, H2bn","HIST1H2BN"
"ADORA2A-AS1","237447_at",0.5282535,0.227,1.25,-5.54953,0.45403275,"ADORA2A-AS1","ADORA2A antisense RNA 1","ADORA2A-AS1"
"LZTS1","1569159_at",0.5284361,0.227,1.25,-5.54992,0.28185717,"LZTS1","leucine zipper tumor suppressor 1","LZTS1"
"C6orf118","230993_s_at",0.5284654,0.227,1.25,-5.55004,0.83886687,"C6orf118","chromosome 6 open reading frame 118","C6orf118"
"ATP11B","1554557_at",0.5285268,0.227,1.25,-5.55021,0.50967442,"ATP11B","ATPase phospholipid transporting 11B (putative)","ATP11B"
"HOXB4","231767_at",0.5286071,0.227,1.25,-5.55038,0.20146376,"HOXB4","homeobox B4","HOXB4"
"FHIT","206492_at",0.5286773,0.227,1.25,-5.55058,0.33495129,"FHIT","fragile histidine triad","FHIT"
"B4GALNT1","1555385_at",0.528682,0.227,1.25,-5.55067,0.32418438,"B4GALNT1","beta-1,4-N-acetyl-galactosaminyltransferase 1","B4GALNT1"
"MAP3K4","216199_s_at",0.528682,0.227,-1.25,-5.55067,-0.21647148,"MAP3K4","mitogen-activated protein kinase kinase kinase 4","MAP3K4"
"FAM192A","217896_s_at",0.5287549,0.228,1.25,-5.5509,0.24322467,"FAM192A","family with sequence similarity 192 member A","FAM192A"
"LOC283887","1556709_a_at",0.5287549,0.228,-1.25,-5.55091,-0.5247145,"LOC283887","uncharacterized LOC283887","LOC283887"
"LOC101927588","1564721_at",0.5291083,0.228,1.25,-5.55154,0.68324401,"LOC101927588","uncharacterized LOC101927588","LOC101927588"
"PRSS55","1570274_at",0.5293376,0.228,1.25,-5.55225,0.2902164,"PRSS55","protease, serine 55","PRSS55"
"CYP3A43","211440_x_at",0.5296625,0.228,1.25,-5.55287,0.57241824,"CYP3A43","cytochrome P450 family 3 subfamily A member 43","CYP3A43"
"ALKBH3","226127_at",0.5297014,0.228,-1.25,-5.55296,-0.28198121,"ALKBH3","alkB homolog 3, alpha-ketoglutaratedependent dioxygenase","ALKBH3"
"CDKN2C","204159_at",0.5298304,0.228,1.25,-5.55323,0.38703806,"CDKN2C","cyclin dependent kinase inhibitor 2C","CDKN2C"
"AGPS","205401_at",0.5299766,0.228,1.25,-5.55355,0.24496507,"AGPS","alkylglycerone phosphate synthase","AGPS"
"INAFM1","227325_at",0.5299766,0.228,-1.25,-5.55368,-0.20181194,"INAFM1","InaF motif containing 1","INAFM1"
"CYB561","209163_at",0.5299766,0.228,-1.25,-5.55372,-0.25714974,"CYB561","cytochrome b561","CYB561"
"HAAO","205657_at",0.5299766,0.228,1.25,-5.55378,0.52455985,"HAAO","3-hydroxyanthranilate 3,4-dioxygenase","HAAO"
"FKBP3","239351_at",0.5299766,0.228,1.25,-5.55384,0.78900611,"FKBP3","FK506 binding protein 3","FKBP3"
"TRIM49C","221154_at",0.5299766,0.228,1.25,-5.55397,0.2855322,"TRIM49C///TRIM49","tripartite motif containing 49C///tripartite motif containing 49","TRIM49C"
"GTPBP10","236633_at",0.5299766,0.229,1.25,-5.55404,0.48682261,"GTPBP10","GTP binding protein 10","GTPBP10"
"LINC00537","232034_at",0.530062,0.229,-1.25,-5.55426,-0.2862993,"LINC00537","long intergenic non-protein coding RNA 537","LINC00537"
"LINC01093","1559573_at",0.5300716,0.229,1.25,-5.55436,0.32885687,"LINC01093","long intergenic non-protein coding RNA 1093","LINC01093"
"IQSEC1","203907_s_at",0.5301071,0.229,-1.25,-5.55455,-0.20280104,"IQSEC1","IQ motif and Sec7 domain 1","IQSEC1"
"LOC102725420","1566427_at",0.5301683,0.229,1.25,-5.55467,0.58783303,"LOC102725420///LOC102724888","uncharacterized LOC102725420///uncharacterized LOC102724888","LOC102725420"
"DSCR10","1552468_a_at",0.5301847,0.229,-1.25,-5.55475,-0.36134125,"DSCR10","Down syndrome critical region 10 (non-protein coding)","DSCR10"
"ARSF","214490_at",0.5301995,0.229,1.25,-5.55484,0.24384151,"ARSF","arylsulfatase F","ARSF"
"LGR4","218326_s_at",0.5302489,0.229,1.25,-5.55498,0.39789825,"LGR4","leucine rich repeat containing G protein-coupled receptor 4","LGR4"
"LINC00641","240902_at",0.5302489,0.229,1.25,-5.55501,0.29356488,"LINC00641","long intergenic non-protein coding RNA 641","LINC00641"
"SPNS2","225671_at",0.5302784,0.229,-1.25,-5.55517,-0.29070963,"SPNS2","sphingolipid transporter 2","SPNS2"
"TMEM234","223656_s_at",0.5304498,0.229,1.25,-5.55563,0.1730281,"TMEM234","transmembrane protein 234","TMEM234"
"RNF144B","239704_at",0.5304498,0.229,1.25,-5.55564,0.37812518,"RNF144B","ring finger protein 144B","RNF144B"
"HELB","1552788_a_at",0.5306338,0.229,1.25,-5.55609,0.63434409,"HELB","DNA helicase B","HELB"
"ZNRF2P1","1556404_a_at",0.5307818,0.229,-1.25,-5.55633,-0.34377542,"ZNRF2P1","zinc and ring finger 2 pseudogene 1","ZNRF2P1"
"C3orf36","221175_at",0.5308937,0.229,1.25,-5.55661,0.67682197,"C3orf36","chromosome 3 open reading frame 36","C3orf36"
"TMEM59","241018_at",0.5309173,0.229,-1.25,-5.55677,-0.66330424,"TMEM59","transmembrane protein 59","TMEM59"
"ITM2C","221004_s_at",0.5309322,0.229,1.25,-5.55683,0.44638468,"ITM2C","integral membrane protein 2C","ITM2C"
"TP53TG3HP","237730_at",0.5309392,0.229,1.25,-5.55694,0.35142047,"TP53TG3HP","TP53 target 3 family member H, pseudogene","TP53TG3HP"
"TFEB","50221_at",0.5310074,0.229,1.25,-5.55712,0.20070603,"TFEB","transcription factor EB","TFEB"
"SIRT4","222248_s_at",0.5310466,0.229,1.25,-5.55724,0.7922795,"SIRT4","sirtuin 4","SIRT4"
"MLF1","204784_s_at",0.5310641,0.23,1.25,-5.55734,0.43041111,"MLF1","myeloid leukemia factor 1","MLF1"
"TGFBR3","204731_at",0.5311163,0.23,1.25,-5.5575,0.36447187,"TGFBR3","transforming growth factor beta receptor 3","TGFBR3"
"LOC101928894","1563086_at",0.5311428,0.23,1.25,-5.55757,0.36055931,"LOC101928894","uncharacterized LOC101928894","LOC101928894"
"CHI3L2","213060_s_at",0.5311464,0.23,1.25,-5.5576,0.33710942,"CHI3L2","chitinase 3 like 2","CHI3L2"
"HECW1","215584_at",0.5312223,0.23,1.25,-5.55781,0.26022322,"HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","HECW1"
"MTUS1","212093_s_at",0.5312223,0.23,1.25,-5.55789,0.25714211,"MTUS1","microtubule associated tumor suppressor 1","MTUS1"
"ROCK1","235854_x_at",0.5312641,0.23,1.25,-5.55799,0.24288402,"ROCK1","Rho associated coiled-coil containing protein kinase 1","ROCK1"
"MPO","203948_s_at",0.5312916,0.23,-1.25,-5.55809,-0.60049785,"MPO","myeloperoxidase","MPO"
"OR2L1P","1567242_at",0.5313761,0.23,-1.25,-5.55832,-0.52865559,"OR2L1P","olfactory receptor family 2 subfamily L member 1 pseudogene","OR2L1P"
"MMEL1","1552930_at",0.5313761,0.23,-1.25,-5.55837,-0.33700358,"MMEL1","membrane metallo-endopeptidase-like 1","MMEL1"
"FAM47A","243700_x_at",0.5314713,0.23,1.25,-5.5586,0.44482986,"FAM47A","family with sequence similarity 47 member A","FAM47A"
"TTC25","223924_at",0.5315261,0.23,-1.25,-5.55879,-0.72312522,"TTC25","tetratricopeptide repeat domain 25","TTC25"
"RWDD2B","218377_s_at",0.5315261,0.23,1.25,-5.5588,0.40716186,"RWDD2B","RWD domain containing 2B","RWDD2B"
"MUM1L1","229160_at",0.5315261,0.23,1.25,-5.5588,0.37596048,"MUM1L1","MUM1 like 1","MUM1L1"
"MSANTD1","237434_x_at",0.5315669,0.23,-1.25,-5.55899,-0.58513097,"MSANTD1","Myb/SANT DNA binding domain containing 1","MSANTD1"
"RPL23AP53","222225_at",0.531607,0.23,-1.25,-5.55913,-0.64850643,"RPL23AP53","ribosomal protein L23a pseudogene 53","RPL23AP53"
"PCP2","244751_at",0.531607,0.23,-1.25,-5.55917,-0.72067555,"PCP2","Purkinje cell protein 2","PCP2"
"DIABLO","219350_s_at",0.5316482,0.23,1.25,-5.55929,0.18488575,"DIABLO","diablo IAP-binding mitochondrial protein","DIABLO"
"TOMM70","201519_at",0.5317297,0.23,-1.25,-5.5595,-0.17814932,"TOMM70","translocase of outer mitochondrial membrane 70","TOMM70"
"MSC","209928_s_at",0.5317627,0.23,-1.24,-5.55966,-0.39479252,"MSC","musculin","MSC"
"BRMS1","215631_s_at",0.531895,0.23,-1.24,-5.55996,-0.2939861,"BRMS1","breast cancer metastasis suppressor 1","BRMS1"
"KIAA1614","215367_at",0.5319079,0.23,-1.24,-5.56001,-0.80973662,"KIAA1614","KIAA1614","KIAA1614"
"SLC12A1","1554842_at",0.5319731,0.23,1.24,-5.56019,0.37803771,"SLC12A1","solute carrier family 12 member 1","SLC12A1"
"GORAB","226337_at",0.5319731,0.23,-1.24,-5.56019,-0.25195074,"GORAB","golgin, RAB6 interacting","GORAB"
"LOC101927760","240746_s_at",0.5319769,0.23,-1.24,-5.56023,-0.59972173,"LOC101927760","uncharacterized LOC101927760","LOC101927760"
"WIPI1","203827_at",0.5320144,0.23,1.24,-5.56031,0.25310492,"WIPI1","WD repeat domain, phosphoinositide interacting 1","WIPI1"
"STX8","204690_at",0.5323032,0.231,1.24,-5.56078,0.17892512,"STX8","syntaxin 8","STX8"
"NUP43","238474_at",0.5323596,0.231,-1.24,-5.5609,-0.63942218,"NUP43","nucleoporin 43","NUP43"
"BTAF1","209430_at",0.5323831,0.231,-1.24,-5.56096,-0.24871404,"BTAF1","B-TFIID TATA-box binding protein associated factor 1","BTAF1"
"LOC101927606","1564878_at",0.5324188,0.231,1.24,-5.5611,0.36315107,"LOC101927606","uncharacterized LOC101927606","LOC101927606"
"ZBED3-AS1","241423_at",0.5325575,0.231,1.24,-5.56155,0.50281853,"ZBED3-AS1","ZBED3 antisense RNA 1","ZBED3-AS1"
"DOC2B","207311_at",0.5326487,0.231,1.24,-5.56171,0.50066877,"DOC2B","double C2 domain beta","DOC2B"
"HSF2","211220_s_at",0.5326591,0.231,-1.24,-5.56176,-0.27898543,"HSF2","heat shock transcription factor 2","HSF2"
"GPR156","239607_at",0.532769,0.231,1.24,-5.56199,0.27588931,"GPR156","G protein-coupled receptor 156","GPR156"
"NFE4","1560527_at",0.5327694,0.231,1.24,-5.56206,0.52765738,"NFE4","nuclear factor, erythroid 4","NFE4"
"LOC100996782","219730_at",0.5328957,0.231,1.24,-5.56234,0.56133124,"LOC100996782///MED18","mediator of RNA polymerase II transcription subunit 18-like///mediator complex subunit 18","LOC100996782"
"GAFA1","1554901_at",0.5330371,0.231,1.24,-5.56264,0.50424478,"GAFA1","FGF2-associated protein GAFA1","GAFA1"
"TMEM41B","212623_at",0.5332845,0.231,-1.24,-5.56302,-0.31809079,"TMEM41B","transmembrane protein 41B","TMEM41B"
"LOC101060399","209501_at",0.5335235,0.231,1.24,-5.56341,0.34467153,"LOC101060399///CDR2","cerebellar degeneration-related protein 2///cerebellar degeneration related protein 2","LOC101060399"
"C12orf42","239977_at",0.5336154,0.231,-1.24,-5.56364,-0.47482636,"C12orf42","chromosome 12 open reading frame 42","C12orf42"
"SIRPB2","1559034_at",0.5336154,0.231,-1.24,-5.56366,-0.66015252,"SIRPB2","signal regulatory protein beta 2","SIRPB2"
"POM121L2","216582_at",0.5337295,0.232,1.24,-5.56399,0.32623523,"POM121L2","POM121 transmembrane nucleoporin like 2","POM121L2"
"DDRGK1","218159_at",0.5337653,0.232,-1.24,-5.56407,-0.19302378,"DDRGK1","DDRGK domain containing 1","DDRGK1"
"ZSWIM3","228223_at",0.5337823,0.232,1.24,-5.56416,0.34568265,"ZSWIM3","zinc finger SWIM-type containing 3","ZSWIM3"
"CADPS","234220_at",0.5338314,0.232,-1.24,-5.56432,-0.52926904,"CADPS","calcium dependent secretion activator","CADPS"
"FMN2","223618_at",0.5338359,0.232,1.24,-5.56439,0.42913392,"FMN2","formin 2","FMN2"
"C1QTNF5","223499_at",0.5338914,0.232,1.24,-5.56456,0.27298544,"C1QTNF5///MFRP","C1q and tumor necrosis factor related protein 5///membrane frizzled-related protein","C1QTNF5"
"LOC257396","236076_at",0.5338914,0.232,1.24,-5.56456,0.72391249,"LOC257396","uncharacterized LOC257396","LOC257396"
